X,Y,Bed
448270.0,-1082500.0,-734.57
448160.0,-1082400.0,-764.33
448040.0,-1082400.0,-789.65
447920.0,-1082300.0,-807.13
447810.0,-1082200.0,-815.12
447690.0,-1082100.0,-809.87
447580.0,-1082100.0,-795.24
447470.0,-1082000.0,-776.43
447360.0,-1081900.0,-764.06
447250.0,-1081900.0,-761.11
447140.0,-1081800.0,-763.43
447020.0,-1081700.0,-765.03
446910.0,-1081600.0,-755.92
446800.0,-1081500.0,-732.4
446690.0,-1081500.0,-696.28
446580.0,-1081400.0,-653.56
446470.0,-1081300.0,-612.28
446360.0,-1081300.0,-580.41
446250.0,-1081200.0,-562.33
446130.0,-1081100.0,-553.57
446010.0,-1081000.0,-550.16
445900.0,-1081000.0,-543.88
445790.0,-1080900.0,-538.93
445670.0,-1080800.0,-542.37
445560.0,-1080700.0,-560.78
445440.0,-1080700.0,-587.14
445330.0,-1080600.0,-607.68
445210.0,-1080500.0,-618.05
445090.0,-1080400.0,-621.58
444960.0,-1080400.0,-621.39
444840.0,-1080300.0,-607.54
444720.0,-1080200.0,-605.6
444600.0,-1080200.0,-612.39
444480.0,-1080100.0,-620.61
444360.0,-1080000.0,-621.73
444240.0,-1080000.0,-612.89
444120.0,-1079900.0,-594.88
444000.0,-1079800.0,-577.46
443880.0,-1079700.0,-569.66
443760.0,-1079700.0,-577.49
443640.0,-1079600.0,-597.1
443520.0,-1079500.0,-617.54
443400.0,-1079500.0,-630.54
443280.0,-1079400.0,-632.05
443160.0,-1079300.0,-627.99
443040.0,-1079300.0,-623.53
442920.0,-1079200.0,-625.1
442800.0,-1079100.0,-629.12
442680.0,-1079000.0,-632.51
442570.0,-1079000.0,-631.72
442450.0,-1078900.0,-628.11
442330.0,-1078800.0,-623.45
442220.0,-1078700.0,-626.49
442090.0,-1078700.0,-642.95
441980.0,-1078600.0,-675.41
441860.0,-1078500.0,-714.77
441740.0,-1078400.0,-743.92
441630.0,-1078400.0,-752.78
441510.0,-1078300.0,-744.7
441390.0,-1078200.0,-731.46
441280.0,-1078100.0,-723.95
441160.0,-1078100.0,-727.3
441030.0,-1078000.0,-741.74
440910.0,-1077900.0,-766.57
440800.0,-1077800.0,-797.98
440680.0,-1077800.0,-827.06
440560.0,-1077700.0,-839.17
440440.0,-1077600.0,-824.31
440320.0,-1077600.0,-789.09
440200.0,-1077500.0,-749.01
440070.0,-1077400.0,-720.65
439950.0,-1077300.0,-710.67
439830.0,-1077300.0,-720.73
439710.0,-1077200.0,-743.58
439590.0,-1077100.0,-766.28
439460.0,-1077000.0,-776.14
439340.0,-1077000.0,-768.97
439220.0,-1076900.0,-756.77
439100.0,-1076800.0,-753.85
438980.0,-1076700.0,-758.12
438850.0,-1076700.0,-754.16
438730.0,-1076600.0,-728.56
438610.0,-1076500.0,-689.04
438490.0,-1076400.0,-659.84
438370.0,-1076400.0,-658.22
438250.0,-1076300.0,-681.24
438130.0,-1076200.0,-710.01
438000.0,-1076100.0,-730.82
437880.0,-1076100.0,-736.85
437760.0,-1076000.0,-729.92
437640.0,-1075900.0,-715.61
437520.0,-1075900.0,-699.29
437400.0,-1075800.0,-686.57
437290.0,-1075700.0,-682.35
437170.0,-1075600.0,-687.37
437050.0,-1075600.0,-697.28
436930.0,-1075500.0,-702.09
436810.0,-1075400.0,-693.21
436700.0,-1075300.0,-666.47
436580.0,-1075300.0,-625.96
436470.0,-1075200.0,-577.92
436350.0,-1075100.0,-534.02
436240.0,-1075100.0,-499.81
436120.0,-1075000.0,-472.46
436000.0,-1074900.0,-443.95
435890.0,-1074900.0,-407.19
435780.0,-1074800.0,-361.61
435660.0,-1074700.0,-314.58
435550.0,-1074600.0,-273.71
435440.0,-1074600.0,-246.09
435320.0,-1074500.0,-235.73
435200.0,-1074400.0,-241.21
435090.0,-1074400.0,-259.52
434980.0,-1074300.0,-282.4
434860.0,-1074200.0,-304.14
434750.0,-1074100.0,-320.71
434640.0,-1074100.0,-329.58
434530.0,-1074000.0,-332.11
434420.0,-1073900.0,-331.33
434310.0,-1073900.0,-331.93
434190.0,-1073800.0,-334.47
434080.0,-1073700.0,-337.16
433970.0,-1073700.0,-336.09
433860.0,-1073600.0,-329.07
433750.0,-1073500.0,-316.62
433640.0,-1073500.0,-302.38
433530.0,-1073400.0,-294.56
433420.0,-1073300.0,-296.29
433300.0,-1073300.0,-304.43
433190.0,-1073200.0,-311.51
433080.0,-1073100.0,-309.72
432970.0,-1073100.0,-298.44
432860.0,-1073000.0,-281.83
432750.0,-1072900.0,-265.86
432640.0,-1072900.0,-251.91
432530.0,-1072800.0,-240.72
432420.0,-1072700.0,-233.15
432300.0,-1072700.0,-230.06
432190.0,-1072600.0,-228.58
432080.0,-1072500.0,-227.86
431960.0,-1072400.0,-222.29
431850.0,-1072400.0,-220.99
431740.0,-1072300.0,-220.27
431630.0,-1072200.0,-219.28
431520.0,-1072200.0,-217.98
431400.0,-1072100.0,-215.22
431290.0,-1072000.0,-213.39
431180.0,-1072000.0,-211.92
431070.0,-1071900.0,-207.51
430960.0,-1071800.0,-200.38
430850.0,-1071800.0,-192.55
430740.0,-1071700.0,-186.61
430630.0,-1071600.0,-181.76
430510.0,-1071600.0,-173.35
430400.0,-1071500.0,-160.04
430290.0,-1071400.0,-148.44
430180.0,-1071300.0,-144.61
430060.0,-1071300.0,-148.56
429950.0,-1071200.0,-154.11
429840.0,-1071100.0,-153.75
429730.0,-1071100.0,-147.61
429620.0,-1071000.0,-138.49
429500.0,-1070900.0,-130.25
429390.0,-1070900.0,-124.31
429280.0,-1070800.0,-120.19
429170.0,-1070700.0,-115.33
429050.0,-1070700.0,-108.47
428940.0,-1070600.0,-102.82
428830.0,-1070500.0,-98.49
428720.0,-1070400.0,-97.9
428600.0,-1070400.0,-97.28
428490.0,-1070300.0,-95.33
428380.0,-1070200.0,-91.31
428270.0,-1070200.0,-85.21
428160.0,-1070100.0,-81.04
428050.0,-1070000.0,-79.01
427940.0,-1070000.0,-78.67
427830.0,-1069900.0,-77.61
427720.0,-1069800.0,-73.17
427600.0,-1069800.0,-64.54
427490.0,-1069700.0,-57.39
427380.0,-1069600.0,-53.1
427260.0,-1069500.0,-50.13
427150.0,-1069500.0,-44.97
427040.0,-1069400.0,-36.36
426930.0,-1069300.0,-24.55
426820.0,-1069300.0,-12.37
426700.0,-1069200.0,1.14
426580.0,-1069100.0,14.38
426470.0,-1069100.0,25.17
426360.0,-1069000.0,31.76
426250.0,-1068900.0,33.67
426140.0,-1068900.0,32.45
426020.0,-1068800.0,31.79
425910.0,-1068700.0,36.12
425800.0,-1068700.0,47.68
425690.0,-1068600.0,64.08
425570.0,-1068500.0,80.37
425460.0,-1068500.0,88.74
425350.0,-1068400.0,89.39
425230.0,-1068300.0,86.92
425120.0,-1068300.0,88.15
425010.0,-1068200.0,96.04
424900.0,-1068100.0,105.44
424780.0,-1068000.0,105.97
424670.0,-1068000.0,89.23
424560.0,-1067900.0,55.57
424450.0,-1067800.0,14.25
424340.0,-1067800.0,-22.32
424230.0,-1067700.0,-45.75
424110.0,-1067600.0,-54.28
424000.0,-1067600.0,-51.94
423890.0,-1067500.0,-47.15
423770.0,-1067400.0,-43.31
423660.0,-1067300.0,-41.2
423550.0,-1067300.0,-37.31
423440.0,-1067200.0,-31.96
423330.0,-1067100.0,-31.14
423210.0,-1067100.0,-38.86
423100.0,-1067000.0,-47.77
422990.0,-1066900.0,-46.72
422870.0,-1066900.0,-30.03
422760.0,-1066800.0,-5.82
422640.0,-1066700.0,10.38
422530.0,-1066700.0,12.14
422420.0,-1066600.0,1.14
422310.0,-1066500.0,-9.41
422190.0,-1066500.0,-12.66
422080.0,-1066400.0,-9.48
421960.0,-1066300.0,-8.87
421850.0,-1066200.0,-20.17
421740.0,-1066200.0,-44.31
421620.0,-1066100.0,-75.43
421510.0,-1066000.0,-105.83
421400.0,-1066000.0,-129.07
421280.0,-1065900.0,-145.03
421170.0,-1065800.0,-156.74
421050.0,-1065800.0,-166.19
420940.0,-1065700.0,-172.71
420820.0,-1065600.0,-175.54
420710.0,-1065500.0,-175.13
420590.0,-1065500.0,-173.67
420480.0,-1065400.0,-171.01
420370.0,-1065300.0,-167.02
420250.0,-1065300.0,-160.87
420130.0,-1065200.0,-153.08
420020.0,-1065100.0,-144.17
446750.0,-1090000.0,-156.71
446800.0,-1089800.0,-169.32
446850.0,-1089700.0,-175.99
446900.0,-1089500.0,-186.49
446960.0,-1089400.0,-197.55
